,price,stock,position,allocation
A,67.69999694824219,0.0,0.0,0.0
AA,23.239999771118164,0.0,0.0,0.0
AABA,62.22999954223633,0.0,0.0,0.0
AAL,29.5,0.0,0.0,0.0
AAN,53.29999923706055,0.0,0.0,0.0
AAON,46.040000915527344,0.0,0.0,0.0
AAP,159.8000030517578,0.0,0.0,0.0
AAPL,179.66000366210938,0.0,0.0,0.0
AAT,45.70000076293945,0.0,0.0,0.0
AAU,0.44999998807907104,0.0,0.0,0.0
AAWW,38.060001373291016,0.0,0.0,0.0
AAXN,67.02999877929688,0.0,0.0,0.0
AB,28.239999771118164,0.0,0.0,0.0
ABB,18.690000534057617,0.0,0.0,0.0
ABBV,81.1500015258789,0.0,0.0,0.0
ABC,80.44000244140625,0.0,0.0,0.0
ABCB,35.31999969482422,0.0,0.0,0.0
ABEO,6.489999771118164,0.0,0.0,0.0
ABEV,4.260000228881836,0.0,0.0,0.0
ABG,77.80000305175781,0.0,0.0,0.0
ABIO,7.010000228881836,0.0,0.0,0.0
ABM,36.91999816894531,0.0,0.0,0.0
ABMD,262.6400146484375,0.0,0.0,0.0
ABR,12.920000076293945,0.0,0.0,0.0
ABT,75.62999725341797,0.0,0.0,0.0
ABUS,2.0,0.0,0.0,0.0
ACAD,25.34000015258789,0.0,0.0,0.0
ACB,8.25,0.0,0.0,0.0
ACC,46.63999938964844,0.0,0.0,0.0
ACCO,7.760000228881836,0.0,0.0,0.0
ACER,19.110000610351562,6.0,114.66000366210938,0.0011466000692818945
ACGL,34.439998626708984,0.0,0.0,0.0
ACH,8.529999732971191,0.0,0.0,0.0
ACHC,32.2400016784668,0.0,0.0,0.0
ACHN,2.809999942779541,0.0,0.0,0.0
ACHV,3.630000114440918,0.0,0.0,0.0
ACIW,31.579999923706055,0.0,0.0,0.0
ACLS,15.359999656677246,0.0,0.0,0.0
ACM,31.559999465942383,0.0,0.0,0.0
ACN,178.27000427246094,0.0,0.0,0.0
ACNB,37.599998474121094,0.0,0.0,0.0
ACOR,10.279999732971191,0.0,0.0,0.0
ACP,12.5600004196167,0.0,0.0,0.0
ACRE,15.0,0.0,0.0,0.0
ACRX,2.799999952316284,0.0,0.0,0.0
ACST,0.9100000262260437,0.0,0.0,0.0
ACTG,3.0999999046325684,0.0,0.0,0.0
ACU,21.43000030517578,0.0,0.0,0.0
ACY,8.199999809265137,0.0,0.0,0.0
ADBE,274.25,0.0,0.0,0.0
ADC,67.75,0.0,0.0,0.0
ADES,11.579999923706055,0.0,0.0,0.0
ADI,98.7300033569336,0.0,0.0,0.0
ADM,39.209999084472656,0.0,0.0,0.0
ADMP,1.5099999904632568,0.0,0.0,0.0
ADP,161.1300048828125,0.0,0.0,0.0
ADS,141.92999267578125,0.0,0.0,0.0
ADSK,169.5399932861328,0.0,0.0,0.0
ADTN,16.15999984741211,0.0,0.0,0.0
ADUS,68.48999786376953,0.0,0.0,0.0
ADX,14.760000228881836,0.0,0.0,0.0
ADXS,2.950000047683716,0.0,0.0,0.0
ADYX,6.309999942779541,0.0,0.0,0.0
AEB,22.979999542236328,0.0,0.0,0.0
AEE,75.70999908447266,0.0,0.0,0.0
AEG,4.590000152587891,0.0,0.0,0.0
AEGN,14.960000038146973,0.0,0.0,0.0
AEH,25.790000915527344,0.0,0.0,0.0
AEHR,1.6299999952316284,0.0,0.0,0.0
AEIS,50.310001373291016,0.0,0.0,0.0
AEL,28.649999618530273,0.0,0.0,0.0
AEM,40.88999938964844,2.0,81.77999877929688,0.000817800011087929
AEMD,0.3499999940395355,0.0,0.0,0.0
AEO,18.459999084472656,0.0,0.0,0.0
AEP,88.18000030517578,0.0,0.0,0.0
AER,47.150001525878906,0.0,0.0,0.0
AES,16.790000915527344,0.0,0.0,0.0
AETI,0.6000000238418579,0.0,0.0,0.0
AEZS,3.190000057220459,0.0,0.0,0.0
AFB,13.170000076293945,0.0,0.0,0.0
AFC,25.649999618530273,0.0,0.0,0.0
